date,2018-Total Rainfall In Month,2019-Total Rainfall In Month,2020-Total Rainfall In Month,2018-Maximum Daily Rainfall,2019-Maximum Daily Rainfall,2020-Maximum Daily Rainfall,2018-Number Of Rainfall Day,2019-Number Of Rainfall Day,2020-Number Of Rainfall Day
1,287,63.6,88.4,45.8,38.2,38,25,9,6
2,14.8,31.6,65,13,13.4,23.8,5,5,8
3,44.6,72.2,108.8,15.2,29,47.4,10,6,8
4,61.2,174.8,188,14,52.4,51.8,14,9,12
5,132.2,69,255.6,47.4,17.2,53.8,19,13,16
6,182.6,173.8,233.8,46.8,37.6,41,17,16,21
7,143.2,12.2,140.8,32.4,6.6,30.4,10,8,22
8,121.6,11.8,103.4,34.6,3.8,34.6,11,6,12
9,144.4,22.8,150.2,45,16.4,32.8,13,4,18
10,234.4,176.8,78.8,60.6,92.2,19,18,15,16
11,169.6,137.4,220.6,20.6,73.4,64.2,27,15,19
12,172.6,421.5,253.2,43.8,74.2,58.2,19,14,20
